stage,task_type,run_id,model_id,seed,fraction_code,status,elapsed_seconds,artifact_sha256,source_commit
week6,downstream_curve,week6-m1rgb-f10-seed43,M1RGB,43,10,success,89.78811703,1bcb3c8a22a106d837f16ce93329b1aa8e1c71a3701d4f8dee3fcb91801a61b4,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m2-f05-seed17,M2,17,05,success,86.23621328,fd2812a0dc04bd1a4eb5fe0152c1661eebfa5e96db1f2b05d1b81f1b8067031d,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m2-f05-seed29,M2,29,05,success,76.62477275,92d860cc95b7d71e35e2a9dd9e81fd1e02f3268efe8e0e348128c2c507a899ad,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m2-f05-seed43,M2,43,05,success,75.23737137,c80bc0662474ee6308f50271b7b323fad6aff10c28cf8f2435dce72e88ae82e9,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m2-f25-seed17,M2,17,25,success,133.054206,f95b8c8d035ce400462e2a7c74a1dd590f89017a1bc6d666dc968e28dc70c68e,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m2-f25-seed29,M2,29,25,success,116.3853326,a0039ed89c52c994ac3e9636fd41921d6b7471830fb5d38dceec6fd485f13535,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m2-f25-seed43,M2,43,25,success,116.8309346,abc5c9c29695c14141338b394dfd49048041f301e86fd19f69935857f79ae7e6,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m2-f50-seed17,M2,17,50,success,185.6504599,838305b638edc68df7dc03efceb82d69a428e419dd9ee6160cdad2554a551613,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m2-f50-seed29,M2,29,50,success,167.5346146,1a587fd501d5e5cc4ea8bb879d2ea65bcf4c0d14107c9d9cf620a92fd067393e,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m2-f50-seed43,M2,43,50,success,169.0163968,de357389a838b00be4f856949ff499db56b416e4a85c401989ea67c3b173b8e9,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m3-f05-seed17,M3,17,05,success,149.2204387,239eea5218e64cca84a76f37a16d9533a383198ea01265e4b2a56b3415983102,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m3-f05-seed29,M3,29,05,success,121.8738451,c0dbe4793588949408cd5925edbaedab003343423738f23eedc4cc68d7cdc686,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m3-f05-seed43,M3,43,05,success,126.3351514,6f233592f3c3783aa027fbd834dce4f71130ae93a6b7c95e93eb27625e164bef,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m3-f25-seed17,M3,17,25,success,223.0637926,9f1e794914e1197cdd5d4c6fe7d66b1590ed9bf7bc7e2d32aad320fa07317580,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m3-f25-seed29,M3,29,25,success,193.1782253,8cfb6d42ba115cd6278f355aaeb85b42b053f0594b2377153c32ae566f1db894,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m3-f25-seed43,M3,43,25,success,195.08552,07da9fe39c0c936ec179302a275ce159542765d76e8118ec00e79cc7d7ae637e,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m3-f50-seed17,M3,17,50,success,328.1394221,1cc7bd57a77252d0d67bddd44fa723e8b4f1b8f73413ef0819487c98829fee13,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m3-f50-seed29,M3,29,50,success,283.2412764,eb9529b015d31fc88eb4ee6703fe8bc2abc74969f78a769695172baa3b29367a,290ce812a5f2545e5e49c18a4195bc9a05bc294a
