run_id,model_id,fraction_code,seed,domain,class_index,class_name,positive_count,negative_count,average_precision,recall_at_0_5,recall_at_source_v_threshold,f1_at_0_5,f1_at_source_v_threshold,ece_15bin,in_c_source
week5-m0-f01-seed17,M0,01,17,Portugal,15,Pastures,579,3421,0.1636366030935679,0.8100172711571675,0.7271157167530224,0.254614549402823,0.24091559370529328,0.512625210902514,True
week5-m0-f01-seed17,M0,01,17,Portugal,16,Permanent crops,963,3037,0.2801067020682872,0.0,0.0,0.0,0.0,0.20070769303322306,True
week5-m0-f01-seed17,M0,01,17,Portugal,17,"Transitional woodland, shrub",1752,2248,0.5541009985651159,0.2437214611872146,0.1615296803652968,0.34064619066613483,0.2504424778761062,0.16750476465800523,True
week5-m0-f01-seed17,M0,01,17,Portugal,18,Urban fabric,325,3675,0.24503214625511668,0.676923076923077,0.6307692307692307,0.2879581151832461,0.2988338192419825,0.3128586389853191,True
week5-m0-f10-seed17,M0,10,17,I,0,Agro-forestry areas,0,3000,,,,,,0.0003163168086474547,False
week5-m0-f10-seed17,M0,10,17,I,1,Arable land,1036,1964,0.8073661227579884,0.9015444015444015,0.917953667953668,0.6628814762242725,0.659729448491155,0.2315416257201538,True
week5-m0-f10-seed17,M0,10,17,I,2,"Beaches, dunes, sands",24,2976,0.03791404994583079,0.041666666666666664,0.041666666666666664,0.03333333333333333,0.03333333333333333,0.01180824985680259,False
week5-m0-f10-seed17,M0,10,17,I,3,Broad-leaved forest,718,2282,0.46933747177593327,0.8022284122562674,0.8217270194986073,0.5092838196286472,0.5099394987035436,0.24870431391942782,True
week5-m0-f10-seed17,M0,10,17,I,4,Coastal wetlands,1,2999,0.0006016847172081829,0.0,0.0,0.0,0.0,0.0015005842461372303,False
week5-m0-f10-seed17,M0,10,17,I,5,Complex cultivation patterns,665,2335,0.3282048563912687,0.7172932330827068,0.7518796992481203,0.45689655172413796,0.46146746654360865,0.2527567056576544,True
week5-m0-f10-seed17,M0,10,17,I,6,Coniferous forest,580,2420,0.7807912823866066,0.7586206896551724,0.7706896551724138,0.6885758998435054,0.680365296803653,0.07712822832568599,True
week5-m0-f10-seed17,M0,10,17,I,7,Industrial or commercial units,87,2913,0.24730109071939213,0.1724137931034483,0.19540229885057472,0.26548672566371684,0.2905982905982906,0.01239097714237575,True
week5-m0-f10-seed17,M0,10,17,I,8,Inland waters,208,2792,0.4250023658686768,0.33653846153846156,0.35096153846153844,0.3867403314917127,0.3978201634877384,0.03614410302012272,True
week5-m0-f10-seed17,M0,10,17,I,9,Inland wetlands,273,2727,0.2331586535722929,0.07692307692307693,0.09157509157509157,0.134185303514377,0.15527950310559005,0.05577737607832325,True
week5-m0-f10-seed17,M0,10,17,I,10,"Land principally occupied by agriculture, with significant areas of natural vegetation",694,2306,0.4299246841444869,0.6887608069164265,0.7276657060518732,0.49533678756476685,0.5009920634920635,0.1634597058954748,True
week5-m0-f10-seed17,M0,10,17,I,11,Marine waters,617,2383,0.9798718680431333,0.8541329011345219,0.8557536466774717,0.9165217391304348,0.9150779896013865,0.02702246728422585,True
week5-m0-f10-seed17,M0,10,17,I,12,Mixed forest,812,2188,0.6351892917406163,0.7105911330049262,0.7266009852216748,0.6251354279523293,0.6210526315789474,0.12812801082498182,True
