hypothesis,left_model,right_model,fraction_code,domain,grouping,observed_paired_difference,bootstrap_mean,percentile_2_5,percentile_97_5,replicates,p_value
H1,M3,M0,50,I,12km-block,-0.012956583506176863,-0.01290427669293228,-0.020468422591210813,-0.005652395568359124,1000,
H1,M3,M0,50,Finland,12km-block,-0.016815448169966756,-0.017116167261263797,-0.02358659213264209,-0.011000406589287958,1000,
H1,M3,M0,50,Portugal,12km-block,-0.019085272429357886,-0.019112164050424655,-0.025837673197904715,-0.013000723461196762,1000,
H1,M3,M0,50,OOD,12km-block,-0.01795036029966232,-0.018114165655844228,-0.022684780344695867,-0.013981443580473473,1000,
H1,M3,M0,100,I,MGRS,-0.016550182251304557,-0.015778913851169984,-0.027563808074382308,-0.00360885403355878,1000,
H1,M3,M0,100,Finland,MGRS,-0.0009070325544284404,-0.00014978153584447134,-0.010318868916574062,0.011409896577928581,1000,
H1,M3,M0,100,Portugal,MGRS,-0.004068944998582513,-0.002627736270528414,-0.006596383587330816,0.011728899975545437,1000,
H1,M3,M0,100,OOD,MGRS,-0.0024879887765054767,-0.001388758903186443,-0.0069396304814400385,0.005958102641725275,1000,
H1,M3,M0,100,I,12km-block,-0.016550182251304557,-0.01682235746588752,-0.02381638995918166,-0.01044491602566651,1000,
H1,M3,M0,100,Finland,12km-block,-0.0009070325544284404,-0.0005147707945226422,-0.007131122816714971,0.006218466580849829,1000,
H1,M3,M0,100,Portugal,12km-block,-0.004068944998582513,-0.0037747959143259093,-0.008340147937103986,0.0008074166455448226,1000,
H1,M3,M0,100,OOD,12km-block,-0.0024879887765054767,-0.002144783354424276,-0.0060489782552204585,0.00189410553751859,1000,
H2,M3,M2,01,I,MGRS,0.0013926374903950693,0.0032852219642421146,-0.02189493391317683,0.03274477708098581,1000,
H2,M3,M2,01,Finland,MGRS,0.037405369362841744,0.031621882023899144,-0.0011799615224389731,0.06168864845888285,1000,
H2,M3,M2,01,Portugal,MGRS,0.013675406580722619,0.013498289955368694,0.011062005398949073,0.015730434724223575,1000,
H2,M3,M2,01,OOD,MGRS,0.02554038797178218,0.022560085989633917,0.0059334276341665585,0.037125214624535774,1000,
H2,M3,M2,01,I,12km-block,0.0013926374903950693,0.0018176862023579462,-0.00818420325866343,0.012064211317263556,1000,
H2,M3,M2,01,Finland,12km-block,0.037405369362841744,0.03027171097848216,0.011704153594199095,0.04502495926887923,1000,
H2,M3,M2,01,Portugal,12km-block,0.013675406580722619,0.013749401239371323,0.009809019839668599,0.01793969205262048,1000,
H2,M3,M2,01,OOD,12km-block,0.02554038797178218,0.022010556108926743,0.012416680492683288,0.029683874286102686,1000,
H2,M3,M2,05,I,MGRS,0.009667318455615378,0.009644099134352851,-0.004094816482628634,0.023091122787070057,1000,
H2,M3,M2,05,Finland,MGRS,0.012649857664064188,0.019970884125840648,-0.014338007323378421,0.0548083120085086,1000,
H2,M3,M2,05,Portugal,MGRS,0.015344047397842342,0.015071945806440187,0.012022418332204984,0.017835525498142935,1000,
H2,M3,M2,05,OOD,MGRS,0.013996952530953266,0.017521414966140417,0.000328269577378632,0.03485789326320842,1000,
H2,M3,M2,05,I,12km-block,0.009667318455615378,0.009702083402953194,-0.000865269445551892,0.019966017911177792,1000,
H2,M3,M2,05,Finland,12km-block,0.012649857664064188,0.02133434214327948,0.005378279740823105,0.04098067533802282,1000,
H2,M3,M2,05,Portugal,12km-block,0.015344047397842342,0.015521408225842826,0.010980930237537307,0.02049890764722619,1000,
H2,M3,M2,05,OOD,12km-block,0.013996952530953266,0.01842787518456115,0.00993679887667923,0.028802143941634422,1000,
H2,M3,M2,10,I,MGRS,0.031043291326478834,0.02896948964503961,0.0061852066842329745,0.04831042822990724,1000,
H2,M3,M2,10,Finland,MGRS,0.03171076603250478,0.032880923735047106,0.0035050588946372208,0.06443070992549557,1000,
H2,M3,M2,10,Portugal,MGRS,0.011688270110917868,0.012430806373730532,0.0065047703947014495,0.026734160250297272,1000,
H2,M3,M2,10,OOD,MGRS,0.021699518071711322,0.02265586505438882,0.007518171085838699,0.0389153726204331,1000,
H2,M3,M2,10,I,12km-block,0.031043291326478834,0.030871033921142575,0.02026734942975176,0.040688836952031515,1000,
H2,M3,M2,10,Finland,12km-block,0.03171076603250478,0.033092599389066876,0.02391423913873017,0.04216875595776214,1000,
H2,M3,M2,10,Portugal,12km-block,0.011688270110917868,0.011865651670787637,0.005934821628147934,0.01794942261167823,1000,
H2,M3,M2,10,OOD,12km-block,0.021699518071711322,0.022479125529927254,0.01714976161169175,0.028016360732429992,1000,
H2,M3,M2,25,I,MGRS,0.06175903680564582,0.06277977462380065,0.04723245929514129,0.08304663486075721,1000,
H2,M3,M2,25,Finland,MGRS,0.06264874403650324,0.05910244312430787,0.010629564950409754,0.10315897991155905,1000,
H2,M3,M2,25,Portugal,MGRS,0.04884344678746222,0.049927940775216964,0.03998320387397456,0.07278667919953229,1000,
H2,M3,M2,25,OOD,MGRS,0.05574609541198273,0.05451519194976242,0.029572385599005893,0.07772520796316255,1000,
H2,M3,M2,25,I,12km-block,0.06175903680564582,0.061922453532582133,0.05294500224071306,0.0728282705935844,1000,
H2,M3,M2,25,Finland,12km-block,0.06264874403650324,0.06267184336069939,0.042448536049400104,0.08392952382122977,1000,
H2,M3,M2,25,Portugal,12km-block,0.04884344678746222,0.049061113188237436,0.039829936143711414,0.058065758021978,1000,
H2,M3,M2,25,OOD,12km-block,0.05574609541198273,0.05586647827446841,0.04455841929603748,0.06728596057718086,1000,
H2,M3,M2,50,I,MGRS,0.06152590232165167,0.06326656649711379,0.045292750731852974,0.08480824063607399,1000,
H2,M3,M2,50,Finland,MGRS,0.054026520041403236,0.05396985327735473,0.026640755748483194,0.07915603349109489,1000,
H2,M3,M2,50,Portugal,MGRS,0.04732755953650314,0.047919943349770705,0.03977871155579652,0.06579295196240707,1000,
H2,M3,M2,50,OOD,MGRS,0.05067703978895319,0.05094489831356272,0.036854900653274646,0.06481460703797626,1000,
H2,M3,M2,50,I,12km-block,0.06152590232165167,0.06179682191255537,0.051196850875329034,0.0723908305003342,1000,
H2,M3,M2,50,Finland,12km-block,0.054026520041403236,0.05460944175111848,0.0404383511708055,0.06849637670858788,1000,
H2,M3,M2,50,Portugal,12km-block,0.04732755953650314,0.04695947579043508,0.036470803039265844,0.05682571851109988,1000,
H2,M3,M2,50,OOD,12km-block,0.05067703978895319,0.05078445877077678,0.04209458714362655,0.05887925327567959,1000,
H2,M3,M2,100,I,MGRS,0.05744080630993794,0.06172331316943534,0.03817959177935412,0.09589139929293096,1000,
H2,M3,M2,100,Finland,MGRS,0.06247871325417723,0.06437455401140528,0.030397730553544097,0.09904877791759555,1000,
H2,M3,M2,100,Portugal,MGRS,0.05910261218651547,0.05956443272091549,0.052945904929954456,0.07185407825097047,1000,
H2,M3,M2,100,OOD,MGRS,0.060790662720346354,0.061969493366160394,0.044442304620464945,0.07914187395427313,1000,
H2,M3,M2,100,I,12km-block,0.05744080630993794,0.056366352748096454,0.040611156850838825,0.07255681028146921,1000,
H2,M3,M2,100,Finland,12km-block,0.06247871325417723,0.06317745272776655,0.04908193577715785,0.07823034075466193,1000,
H2,M3,M2,100,Portugal,12km-block,0.05910261218651547,0.05890942206465943,0.04978717353932065,0.0682392217352668,1000,
H2,M3,M2,100,OOD,12km-block,0.060790662720346354,0.061043437396212985,0.05272419973385906,0.07025339965741893,1000,
H3,M4,M3,01,I,MGRS,0.011164926548535051,0.010280650537942753,-0.01107652702266184,0.03159538334718337,1000,
H3,M4,M3,01,Finland,MGRS,-0.004859228101555313,0.002402403144452923,-0.021369635144738768,0.030574244630996696,1000,
H3,M4,M3,01,Portugal,MGRS,0.001570250422830738,0.001654543519408658,-0.002654192464829878,0.005203185401052625,1000,
