run_id,model_id,fraction_code,seed,domain,sample_count,supported_map,all_class_map,macro_f1_at_0_5,micro_f1_at_0_5,macro_f1_at_source_v_threshold,micro_f1_at_source_v_threshold,source_v_threshold,binary_brier_score,macro_classwise_ece_15bin,mgrs_group_count,block_12km_count,country_count,quarter_count
week6-m4-f50-seed17,M4,50,17,Portugal,4000,0.34590182976319894,0.32494115488569736,0.25849257455956803,0.3538038496791934,0.26791546763632534,0.3663498415874604,0.44999999999999996,0.149808588289703,0.1388545625971224,3,286,1,4
week6-m4-f50-seed17,M4,50,17,OOD,8000,0.3451904856332712,,,,,,0.44999999999999996,,,24,1298,2,4
week7-m5-f01-seed17,M5,01,17,I,3000,0.38649392927822085,0.35376652063014713,0.34595808253855814,0.5166446934739618,0.3251698743501025,0.5234468937875751,0.7999999999999999,0.16152867616779015,0.16361935172123876,8,193,5,4
week7-m5-f01-seed17,M5,01,17,Finland,4000,0.3044598268342319,0.270843445280988,0.24870632656820943,0.43292367399741266,0.23497338171945456,0.43589112969339233,0.7999999999999999,0.18023802291084623,0.19855549884545462,21,1012,1,4
week7-m5-f01-seed17,M5,01,17,Portugal,4000,0.2808255305125326,0.2631068726447946,0.24405374389713527,0.40024378081888196,0.2272986302894642,0.38685979624367595,0.7999999999999999,0.22844936453057604,0.2396806330751897,3,286,1,4
week7-m5-f01-seed17,M5,01,17,OOD,8000,0.29264267867338223,,,,,,0.7999999999999999,,,24,1298,2,4
week7-m5-f10-seed17,M5,10,17,I,3000,0.5138016642017915,0.4653817119510535,0.4007647587745956,0.6168456755228943,0.4007647587745956,0.6168456755228943,0.49999999999999994,0.0864835380172748,0.0669877331782095,8,193,5,4
week7-m5-f10-seed17,M5,10,17,Finland,4000,0.32796380280854354,0.29178718472598736,0.23001029286623634,0.44594532081232363,0.23001029286623634,0.44594532081232363,0.49999999999999994,0.11793429845309873,0.1280193351513589,21,1012,1,4
week7-m5-f10-seed17,M5,10,17,Portugal,4000,0.330375368702005,0.30145453587261967,0.2551617809698734,0.3818722139673105,0.2551617809698734,0.3818722139673105,0.49999999999999994,0.1508367491572323,0.1376844147937758,3,286,1,4
week7-m5-f10-seed17,M5,10,17,OOD,8000,0.3291695857552743,,,,,,0.49999999999999994,,,24,1298,2,4
